見出し語,尊敬語,謙譲語,丁寧語
あい,お会いになる,お目にかかる,会います
いき,いらっしゃる,うかがう,まいる

よみ,お読みになる,拝読する,読みます
貰い,おもらいになる,いただく,もらいます
思い,おぼしめす,存じる,思います
思い,思いになる,,
思い,思われる,,

参上,お訪ねになる,うかがう (訪ねる),訪ねます
参上,訪ねられる,参上する (訪ねる),

参上,いらっしゃる,うかがう (行く),まいる
参上,おいでになる,参上する (行く),行きます
参上,お越しになる,あがる (行く),
参上,,あがる (訪ねる),
参上,,お邪魔する,
参上,,お訪ねする,


お知らせ,お知らせになる,お耳に入れる,知らせます
お知らせ,知らせられる,お知らせする,

ご存じ,ご存じだ,存じる,知ります
ご存じ,お知りになる,存じ上げる,
ご存じ,知られる,承知する,

承知,ご存じだ,存じる,知ります
承知,お知りになる,存じ上げる,
承知,知られる,承知する,
知らせ,お知らせになる,お耳に入れる,知らせます
知らせ,知らせられる,お知らせする,
しらせ,お知らせになる,お耳に入れる,知らせます
しらせ,知らせられる,お知らせする,
拝借,お借りになる,拝借する,借ります
拝借,借りられる,お借りする,
お尋ね,お尋ねになる,うかがう,尋ねます
お尋ね,尋ねられる,お尋ねする,
お越し,いらっしゃる,参る,着ます
お越し,おいでになる,,
お越し,見える,,
お越し,お見えになる,,
お越し,お越しになる,,
お越し,来られる,,
逝去,お亡くなりになる,,亡くなる
逝去,亡くなられる,,死にます
逝去,逝去する,,
逝去,おかくれになる,,
ご覧,ご覧になる,拝見する,見ます
ご覧,見られる,,
拝見,ご覧になる,拝見する,見ます
拝見,見られる,,
頂戴,おもらいになる,いただく,もらいます
頂戴,もらわれる,頂戴する,
頂戴,,たまわる,
頂戴,,拝受する,
拝受,お受けになる,拝受する (受ける),受けます
拝受,受けられる,お受けする,

拝受,おもらいになる,いただく,もらいます
拝受,もらわれる,頂戴する,
拝受,,たまわる,
拝受,,拝受する (もらう),
おいで,いらっしゃる,うかがう,まいる
おいで,おいでになる,参上する,行きます
おいで,お越しになる,あがる,
拝読,お読みになる,拝読する,読みます
拝読,読まれる,,
献上,お与えになる,さしあげる,あげる
献上,,献上する,
献上,,献呈する,
献上,,献じる,
献上,,進呈する,
献呈,お与えになる,さしあげる,あげる
献呈,,献上する,
献呈,,献呈する,
献呈,,献じる,
献呈,,進呈する,
進呈,お与えになる,さしあげる,あげる
進呈,,献上する,
進呈,,献呈する,
進呈,,献じる,
進呈,,進呈する,

拝聴,お聞きになる,うかがう,聞きます
拝聴,,うけたまわる,
拝聴,,拝聴する,
拝聴,,お聞きする,

お召,召す,,着ます
お召,お召しになる,,
お召,着られる,,
